00:02:C3;Arelnet Ltd.
00:02:C4;Vector Internat
00:02:C5;Evertz Microsys
00:02:C6;Data Track Tech
00:02:C7;ALPS ELECTRIC C
00:02:C8;Technocom Commu
00:02:C9;Mellanox Techno
00:02:CA;EndPoints,Inc.
00:02:CB;TriState Ltd.
00:02:CC;M.C.C.I
00:02:CD;TeleDream,Inc.
00:02:CE;FoxJet,Inc.
00:02:CF;ZyGate Communic
00:02:D0;Comdial Corpora
00:02:D1;Vivotek,Inc.
00:02:D2;Workstation AG
00:02:D3;NetBotz,Inc.
00:02:D4;PDA Peripherals
00:02:D5;ACR
00:02:D6;NICE Systems
00:02:D7;EMPEG Ltd
00:02:D8;BRECIS Communic
00:02:D9;Reliable Contro
00:02:DA;ExiO Communicat
00:02:DB;NETSEC
00:02:DC;Fujitsu General
00:02:DD;Bromax Communic
00:02:DE;Astrodesign,Inc
00:02:DF;Net Com Systems
00:02:E0;ETAS GmbH
00:02:E1;Integrated Netw
00:02:E2;NDC Infared Eng
00:02:E3;LITE-ON Communi
00:02:E4;JC HYUN Systems
00:02:E5;Timeware Ltd.
00:02:E6;Gould Instrumen
00:02:E7;CAB GmbH & Co K
00:02:E8;E.D.&A.
00:02:E9;CS Systemes De 
00:02:EA;Focus Enhanceme
00:02:EB;Pico Communicat
00:02:EC;Maschoff Design
00:02:ED;DXO Telecom Co.
00:02:EE;Nokia Danmark A
00:02:EF;CCC Network Sys
00:02:F0;AME Optimedia T
00:02:F1;Pinetron Co.,Lt
00:02:F2;eDevice,Inc.
00:02:F3;Media Serve Co.
00:02:F4;PCTEL,Inc.
00:02:F5;VIVE Synergies,
00:02:F6;Equipe Communic
00:02:F7;ARM
00:02:F8;SEAKR Engineeri
00:02:F9;Mimos Semicondu
00:02:FA;DX Antenna Co.,
00:02:FB;Baumuller Aulug
00:02:FC;Cisco Systems,I
00:02:FD;Cisco Systems,I
00:02:FE;Viditec,Inc.
00:02:FF;Handan BroadInf
00:03:00;NetContinuum,In
00:03:01;Avantas Network
00:03:02;Charles Industr
00:03:03;JAMA Electronic
00:03:04;Pacific Broadba
00:03:05;MSC Vertriebs G
00:03:06;Fusion In Tech 
00:03:07;Secure Works,In
00:03:08;AM Communicatio
00:03:09;Texcel Technolo
00:03:0A;Argus Technolog
00:03:0B;Hunter Technolo
00:03:0C;Telesoft Techno
00:03:0D;Uniwill Compute
00:03:0E;Core Communicat
00:03:0F;Digital China (
00:03:10;ITX E-Globaledg
00:03:11;Micro Technolog
00:03:12;TR-Systemtechni
00:03:13;Access Media SP
00:03:14;Teleware Networ
00:03:15;Cidco Incorpora
00:03:16;Nobell Communic
00:03:17;Merlin Systems,
00:03:18;Cyras Systems,I
00:03:19;Infineon AG
00:03:1A;Beijing Broad T
00:03:1B;Cellvision Syst
